1;Ali;0;10-01-2025;9;11;20;160.00;1
2;Sami;2;12-01-2025;14;17;50;390.00;1
3;Mouna;7;15-01-2025;10;12;40;190.00;1
4;Leila;1;20-01-2025;9;12;30;225.00;1
5;Hatem;4;25-01-2025;16;18;60;240.00;1
6;Nadia;3;02-02-2025;8;10;25;140.00;1
7;Omar;4;05-02-2025;13;15;30;130.00;2
8;Sarra;8;10-02-2025;9;12;70;300.00;1
9;Youssef;6;15-02-2025;15;17;20;120.00;1
10;Karim;2;20-02-2025;18;20;80;260.00;2
11;Salma;7;25-02-2025;10;13;60;285.00;1
12;Rania;0;01-03-2025;9;11;30;160.00;1
13;Fares;5;03-03-2025;14;16;40;170.00;1
14;Imen;1;05-03-2025;10;12;25;150.00;1
15;Majdi;4;08-03-2025;9;11;80;240.00;1
16;Amira;3;12-03-2025;11;13;35;140.00;1
17;Henda;4;15-03-2025;15;18;25;195.00;2
18;Sahar;6;18-03-2025;9;11;28;120.00;1
19;Meriem;8;22-03-2025;14;17;60;300.00;1
20;Walid;2;25-03-2025;9;12;90;390.00;1
21;Zied;0;02-04-2025;10;13;45;240.00;1
22;Mariem;7;04-04-2025;14;16;50;190.00;1
23;Anis;5;06-04-2025;9;11;55;170.00;1
24;Sofiene;4;08-04-2025;13;15;70;240.00;2
25;Nour;1;10-04-2025;16;18;35;150.00;1
26;Ons;3;12-04-2025;9;11;40;140.00;1
27;Malek;4;15-04-2025;10;12;32;130.00;2
28;Ines;6;18-04-2025;12;14;25;120.00;1
29;Rami;8;20-04-2025;9;11;65;200.00;1
30;Aya;2;22-04-2025;15;18;100;390.00;1
31;Bilel;0;01-05-2025;9;12;48;240.00;1
32;Sana;7;03-05-2025;10;13;60;285.00;1
33;Khaled;5;05-05-2025;14;16;40;170.00;1
34;Nadia;4;07-05-2025;9;11;75;240.00;1
35;Haykel;1;09-05-2025;11;13;30;150.00;1
36;Chiraz;3;11-05-2025;8;10;20;140.00;2
37;Aymen;4;13-05-2025;13;15;33;130.00;2
38;Houssem;6;15-05-2025;15;17;26;120.00;1
39;Lina;8;17-05-2025;10;12;55;200.00;1
40;Sami;2;19-05-2025;18;20;95;260.00;1
41;Rania;0;01-06-2025;9;11;35;160.00;1
42;Fethi;7;03-06-2025;14;17;70;285.00;1
43;Nidhal;5;05-06-2025;9;11;50;170.00;1
44;Sonia;4;07-06-2025;16;18;60;240.00;1
45;Kais;1;09-06-2025;10;12;28;150.00;1
46;Dorsaf;3;11-06-2025;11;13;40;140.00;1
47;Marwa;4;13-06-2025;9;11;30;130.00;2
48;Selim;6;15-06-2025;13;15;27;120.00;1
49;Imen;8;17-06-2025;9;12;65;300.00;1
50;Hichem;2;19-06-2025;14;17;85;390.00;1
51;Ramzi;0;02-07-2025;10;13;40;240.00;1
52;Syrine;7;04-07-2025;9;11;55;190.00;1
53;Hamza;5;06-07-2025;14;16;45;170.00;1
54;Nermine;4;08-07-2025;9;12;80;360.00;1
55;Foued;1;10-07-2025;15;18;30;225.00;1
56;Rim;3;12-07-2025;8;10;25;140.00;1
57;Issam;4;14-07-2025;11;13;34;130.00;2
58;Maha;6;16-07-2025;16;18;29;120.00;1
59;Nizar;8;18-07-2025;10;13;60;300.00;1
60;Chaker;2;20-07-2025;9;11;90;260.00;2
61;Oussama;0;01-08-2025;9;11;45;160.00;1
62;Rahma;7;03-08-2025;14;16;50;190.00;1
63;Yassine;5;05-08-2025;9;11;52;170.00;1
64;Ahlem;4;07-08-2025;13;15;70;240.00;1
65;Ala;1;09-08-2025;10;12;35;150.00;1
66;Sahar;3;11-08-2025;11;13;40;140.00;1
67;Ghada;4;13-08-2025;9;11;31;130.00;2
68;Achraf;6;15-08-2025;15;17;28;120.00;1
69;Nadia;8;17-08-2025;9;11;55;200.00;1
70;Anouar;2;19-08-2025;14;17;88;390.00;1
71;Sami;0;02-09-2025;10;12;38;160.00;1
72;Ons;7;04-09-2025;9;12;60;285.00;1
73;Ahmed;5;06-09-2025;14;16;50;170.00;1
74;Ikram;4;08-09-2025;9;11;78;240.00;1
75;Jalel;1;10-09-2025;11;13;32;150.00;2
76;Houda;3;12-09-2025;8;10;22;140.00;1
77;Yosra;4;14-09-2025;13;15;34;130.00;2
78;Mehdi;6;16-09-2025;16;18;29;120.00;1
79;Basma;8;18-09-2025;10;12;60;200.00;1
80;Khalil;2;20-09-2025;15;18;95;390.00;1
81;Walid;0;01-10-2025;9;11;45;160.00;1
82;Senda;7;03-10-2025;10;13;70;285.00;1
83;Firas;5;05-10-2025;14;16;55;170.00;1
84;Moez;4;07-10-2025;9;12;85;360.00;1
85;Hela;1;09-10-2025;15;17;30;150.00;1
86;Samar;3;11-10-2025;11;13;40;140.00;1
87;Nour;4;13-10-2025;9;11;33;130.00;2
88;Nidhal;6;15-10-2025;13;15;28;120.00;2
89;Sarra;8;17-10-2025;9;12;65;300.00;1
90;Majdi;2;19-10-2025;14;17;92;390.00;1
91;Aymen;0;02-11-2025;10;12;40;160.00;1
93;Hichem;5;06-11-2025;14;16;52;170.00;1
94;Lamia;4;08-11-2025;9;11;80;240.00;1
95;Nour;1;10-11-2025;11;13;34;150.00;1
96;Mondher;3;12-11-2025;8;10;24;140.00;1
97;Nawres;4;14-11-2025;13;15;32;130.00;2
98;Aziz;6;16-11-2025;16;18;29;120.00;1
99;Fatma;8;18-11-2025;10;13;60;300.00;1
100;Omar;2;20-11-2025;9;12;90;390.00;1
